Designator,Mid X,Mid Y,Layer,Rotation
C1,74.06,9.79,B,90.00
C1,37.94,60.79,B,270.00
C1,54.06,9.79,B,90.00
C1,77.94,60.79,B,270.00
C1,97.94,60.79,B,270.00
C1,34.06,9.79,B,90.00
C1,94.06,9.79,B,90.00
C1,14.06,9.79,B,90.00
C1,57.94,60.79,B,270.00
C1,17.94,60.79,B,270.00
C2,32.55,45.54,B,90.00
C2,79.45,25.04,B,270.00
C2,99.45,25.04,B,270.00
C2,19.45,25.04,B,270.00
C2,12.55,45.54,B,90.00
C2,92.55,45.54,B,90.00
C2,39.45,25.04,B,270.00
C2,59.45,25.04,B,270.00
C2,72.55,45.54,B,90.00
C2,52.55,45.54,B,90.00
C3,52.44,43.92,B,270.00
C3,59.56,26.66,B,90.00
C3,39.56,26.66,B,90.00
C3,19.56,26.66,B,90.00
C3,99.56,26.66,B,90.00
C3,72.44,43.92,B,270.00
C3,32.44,43.92,B,270.00
C3,12.44,43.92,B,270.00
C3,92.44,43.92,B,270.00
C3,79.56,26.66,B,90.00
C4,70.97,14.86,T,90.00
C4,101.03,55.72,T,270.00
C4,81.03,55.72,T,270.00
C4,21.03,55.72,T,270.00
C4,30.97,14.86,T,90.00
C4,10.97,14.86,T,90.00
C4,41.03,55.72,T,270.00
C4,90.97,14.86,T,90.00
C4,50.97,14.86,T,90.00
C4,61.03,55.72,T,270.00
C5,51.89,14.86,T,270.00
C5,91.89,14.86,T,270.00
C5,60.11,55.72,T,90.00
C5,11.89,14.86,T,270.00
C5,40.11,55.72,T,90.00
C5,80.11,55.72,T,90.00
C5,100.11,55.72,T,90.00
C5,71.89,14.86,T,270.00
C5,20.11,55.72,T,90.00
C5,31.89,14.86,T,270.00
C6,79.99,53.96,T,90.00
C6,39.99,53.96,T,90.00
C6,32.01,16.62,T,270.00
C6,99.99,53.96,T,90.00
C6,59.99,53.96,T,90.00
C6,12.01,16.62,T,270.00
C6,72.01,16.62,T,270.00
C6,19.99,53.96,T,90.00
C6,92.01,16.62,T,270.00
C6,52.01,16.62,T,270.00
C7,53.94,26.47,B,270.00
